,diff_0,diff_1,diff_2,target
165,44.0,34.0,35.0,36.0
166,34.0,35.0,36.0,30.0
167,35.0,36.0,30.0,23.0
168,36.0,30.0,23.0,26.0
169,30.0,23.0,26.0,28.0
170,23.0,26.0,28.0,21.0
171,26.0,28.0,21.0,21.0
172,28.0,21.0,21.0,8.0
173,21.0,21.0,8.0,8.0
174,21.0,8.0,8.0,12.0
175,8.0,8.0,12.0,14.0
176,8.0,12.0,14.0,18.0
177,12.0,14.0,18.0,24.0
178,14.0,18.0,24.0,29.0
179,18.0,24.0,29.0,27.0
180,24.0,29.0,27.0,42.0
181,29.0,27.0,42.0,44.0
182,27.0,42.0,44.0,101.0
183,24.0,24.0,30.0,36.0
184,24.0,30.0,36.0,37.0
185,30.0,36.0,37.0,30.0
186,36.0,37.0,30.0,23.0
187,37.0,30.0,23.0,21.0
188,30.0,23.0,21.0,17.0
189,23.0,21.0,17.0,17.0
190,21.0,17.0,17.0,15.0
191,17.0,17.0,15.0,11.0
192,17.0,15.0,11.0,11.0
193,15.0,11.0,11.0,10.0
194,11.0,11.0,10.0,7.0
195,11.0,10.0,7.0,7.0
196,10.0,7.0,7.0,8.0
197,7.0,7.0,8.0,10.0
198,7.0,8.0,10.0,11.0
199,8.0,10.0,11.0,12.0
200,10.0,11.0,12.0,12.0
201,11.0,12.0,12.0,17.0
202,12.0,12.0,17.0,19.0
203,12.0,17.0,19.0,23.0
204,17.0,19.0,23.0,33.0
205,19.0,23.0,33.0,37.0
206,23.0,33.0,37.0,36.0
207,33.0,37.0,36.0,49.0
208,37.0,36.0,49.0,101.0
209,100.0,99.0,96.0,76.0
210,99.0,96.0,76.0,55.0
211,96.0,76.0,55.0,37.0
212,76.0,55.0,37.0,101.0
213,84.0,78.0,74.0,74.0
214,78.0,74.0,74.0,77.0
215,74.0,74.0,77.0,79.0
216,74.0,77.0,79.0,76.0
217,77.0,79.0,76.0,70.0
218,79.0,76.0,70.0,70.0
219,76.0,70.0,70.0,73.0
220,70.0,70.0,73.0,71.0
221,70.0,73.0,71.0,77.0
222,73.0,71.0,77.0,81.0
223,71.0,77.0,81.0,67.0
224,77.0,81.0,67.0,68.0
225,81.0,67.0,68.0,67.0
226,67.0,68.0,67.0,78.0
227,68.0,67.0,78.0,91.0
228,67.0,78.0,91.0,91.0
229,78.0,91.0,91.0,96.0
230,91.0,91.0,96.0,101.0
231,75.0,68.0,63.0,60.0
232,68.0,63.0,60.0,55.0
233,63.0,60.0,55.0,55.0
234,60.0,55.0,55.0,55.0
235,55.0,55.0,55.0,64.0
