,diff_0,diff_1,diff_2,diff_3,target
235,80.0,67.0,63.0,53.0,48.0
236,67.0,63.0,53.0,48.0,101.0
237,84.0,79.0,73.0,68.0,56.0
238,79.0,73.0,68.0,56.0,54.0
239,73.0,68.0,56.0,54.0,49.0
240,68.0,56.0,54.0,49.0,41.0
241,56.0,54.0,49.0,41.0,40.0
242,54.0,49.0,41.0,40.0,34.0
243,49.0,41.0,40.0,34.0,33.0
244,41.0,40.0,34.0,33.0,31.0
245,40.0,34.0,33.0,31.0,30.0
246,34.0,33.0,31.0,30.0,30.0
247,33.0,31.0,30.0,30.0,38.0
248,31.0,30.0,30.0,38.0,44.0
249,30.0,30.0,38.0,44.0,52.0
250,30.0,38.0,44.0,52.0,56.0
251,38.0,44.0,52.0,56.0,62.0
252,44.0,52.0,56.0,62.0,82.0
253,52.0,56.0,62.0,82.0,101.0
254,34.0,29.0,24.0,23.0,16.0
255,29.0,24.0,23.0,16.0,14.0
256,24.0,23.0,16.0,14.0,10.0
257,23.0,16.0,14.0,10.0,14.0
258,16.0,14.0,10.0,14.0,17.0
259,14.0,10.0,14.0,17.0,18.0
260,10.0,14.0,17.0,18.0,23.0
261,14.0,17.0,18.0,23.0,36.0
262,17.0,18.0,23.0,36.0,53.0
263,18.0,23.0,36.0,53.0,76.0
264,23.0,36.0,53.0,76.0,89.0
265,36.0,53.0,76.0,89.0,73.0
266,53.0,76.0,89.0,73.0,87.0
267,76.0,89.0,73.0,87.0,99.0
268,89.0,73.0,87.0,99.0,101.0
269,27.0,39.0,69.0,83.0,87.0
270,39.0,69.0,83.0,87.0,84.0
271,69.0,83.0,87.0,84.0,71.0
272,83.0,87.0,84.0,71.0,39.0
273,87.0,84.0,71.0,39.0,55.0
274,84.0,71.0,39.0,55.0,59.0
275,71.0,39.0,55.0,59.0,68.0
276,39.0,55.0,59.0,68.0,77.0
277,55.0,59.0,68.0,77.0,88.0
278,59.0,68.0,77.0,88.0,86.0
279,68.0,77.0,88.0,86.0,90.0
280,77.0,88.0,86.0,90.0,99.0
281,88.0,86.0,90.0,99.0,97.0
282,86.0,90.0,99.0,97.0,95.0
283,90.0,99.0,97.0,95.0,92.0
284,99.0,97.0,95.0,92.0,98.0
285,97.0,95.0,92.0,98.0,101.0
286,17.0,14.0,18.0,9.0,8.0
287,14.0,18.0,9.0,8.0,5.0
288,18.0,9.0,8.0,5.0,4.0
289,9.0,8.0,5.0,4.0,4.0
290,8.0,5.0,4.0,4.0,4.0
291,5.0,4.0,4.0,4.0,3.0
292,4.0,4.0,4.0,3.0,1.0
293,4.0,4.0,3.0,1.0,1.0
294,4.0,3.0,1.0,1.0,2.0
295,3.0,1.0,1.0,2.0,2.0
296,1.0,1.0,2.0,2.0,4.0
297,1.0,2.0,2.0,4.0,5.0
298,2.0,2.0,4.0,5.0,8.0
299,2.0,4.0,5.0,8.0,11.0
300,4.0,5.0,8.0,11.0,13.0
301,5.0,8.0,11.0,13.0,14.0
302,8.0,11.0,13.0,14.0,17.0
303,11.0,13.0,14.0,17.0,19.0
304,13.0,14.0,17.0,19.0,20.0
305,14.0,17.0,19.0,20.0,21.0
306,17.0,19.0,20.0,21.0,18.0
307,19.0,20.0,21.0,18.0,24.0
308,20.0,21.0,18.0,24.0,29.0
309,21.0,18.0,24.0,29.0,31.0
310,18.0,24.0,29.0,31.0,38.0
311,24.0,29.0,31.0,38.0,46.0
312,29.0,31.0,38.0,46.0,46.0
313,31.0,38.0,46.0,46.0,49.0
314,38.0,46.0,46.0,49.0,101.0
315,61.0,28.0,8.0,27.0,51.0
316,28.0,8.0,27.0,51.0,76.0
317,8.0,27.0,51.0,76.0,82.0
318,27.0,51.0,76.0,82.0,86.0
319,51.0,76.0,82.0,86.0,83.0
320,76.0,82.0,86.0,83.0,85.0
321,82.0,86.0,83.0,85.0,96.0
322,86.0,83.0,85.0,96.0,101.0
323,91.0,62.0,52.0,51.0,51.0
324,62.0,52.0,51.0,51.0,52.0
325,52.0,51.0,51.0,52.0,47.0
326,51.0,51.0,52.0,47.0,49.0
327,51.0,52.0,47.0,49.0,46.0
328,52.0,47.0,49.0,46.0,42.0
329,47.0,49.0,46.0,42.0,41.0
330,49.0,46.0,42.0,41.0,35.0
331,46.0,42.0,41.0,35.0,36.0
332,42.0,41.0,35.0,36.0,39.0
333,41.0,35.0,36.0,39.0,35.0
334,35.0,36.0,39.0,35.0,34.0
335,36.0,39.0,35.0,34.0,43.0
