,diff_0,diff_1,target
94246,29.0,30.0,30.0
94247,30.0,30.0,32.0
94248,30.0,32.0,41.0
94249,32.0,41.0,45.0
94250,41.0,45.0,52.0
94251,45.0,52.0,63.0
94252,52.0,63.0,76.0
94253,63.0,76.0,89.0
94254,76.0,89.0,97.0
94255,89.0,97.0,101.0
94256,86.0,93.0,83.0
94257,93.0,83.0,72.0
94258,83.0,72.0,61.0
94259,72.0,61.0,57.0
94260,61.0,57.0,61.0
94261,57.0,61.0,61.0
94262,61.0,61.0,65.0
94263,61.0,65.0,66.0
94264,65.0,66.0,73.0
94265,66.0,73.0,78.0
94266,73.0,78.0,77.0
94267,78.0,77.0,80.0
94268,77.0,80.0,82.0
94269,80.0,82.0,80.0
94270,82.0,80.0,79.0
94271,80.0,79.0,86.0
94272,79.0,86.0,87.0
94273,86.0,87.0,101.0
94274,29.0,26.0,26.0
94275,26.0,26.0,26.0
94276,26.0,26.0,30.0
94277,26.0,30.0,34.0
94278,30.0,34.0,36.0
94279,34.0,36.0,39.0
94280,36.0,39.0,42.0
94281,39.0,42.0,43.0
94282,42.0,43.0,48.0
94283,43.0,48.0,58.0
94284,48.0,58.0,65.0
94285,58.0,65.0,72.0
94286,65.0,72.0,82.0
94287,72.0,82.0,83.0
94288,82.0,83.0,80.0
94289,83.0,80.0,95.0
94290,80.0,95.0,95.0
94291,95.0,95.0,88.0
94292,95.0,88.0,101.0
94293,86.0,66.0,101.0
94294,50.0,42.0,47.0
94295,42.0,47.0,40.0
94296,47.0,40.0,35.0
94297,40.0,35.0,46.0
94298,35.0,46.0,45.0
94299,46.0,45.0,54.0
94300,45.0,54.0,73.0
94301,54.0,73.0,89.0
94302,73.0,89.0,101.0
94303,90.0,76.0,69.0
94304,76.0,69.0,69.0
94305,69.0,69.0,55.0
94306,69.0,55.0,56.0
94307,55.0,56.0,55.0
94308,56.0,55.0,62.0
94309,55.0,62.0,70.0
94310,62.0,70.0,85.0
94311,70.0,85.0,101.0
94312,72.0,70.0,70.0
94313,70.0,70.0,70.0
94314,70.0,70.0,77.0
94315,70.0,77.0,75.0
94316,77.0,75.0,76.0
94317,75.0,76.0,75.0
94318,76.0,75.0,81.0
94319,75.0,81.0,90.0
94320,81.0,90.0,97.0
94321,90.0,97.0,98.0
94322,97.0,98.0,85.0
94323,98.0,85.0,81.0
94324,85.0,81.0,86.0
94325,81.0,86.0,90.0
94326,86.0,90.0,96.0
94327,90.0,96.0,101.0
94328,81.0,59.0,50.0
94329,59.0,50.0,37.0
94330,50.0,37.0,32.0
94331,37.0,32.0,27.0
94332,32.0,27.0,22.0
94333,27.0,22.0,18.0
94334,22.0,18.0,15.0
94335,18.0,15.0,14.0
94336,15.0,14.0,24.0
94337,14.0,24.0,41.0
94338,24.0,41.0,68.0
94339,41.0,68.0,95.0
94340,68.0,95.0,101.0
94341,92.0,82.0,82.0
94342,82.0,82.0,86.0
94343,82.0,86.0,99.0
94344,86.0,99.0,101.0
94345,68.0,67.0,64.0
94346,67.0,64.0,54.0
94347,64.0,54.0,48.0
94348,54.0,48.0,42.0
94349,48.0,42.0,41.0
94350,42.0,41.0,38.0
94351,41.0,38.0,39.0
94352,38.0,39.0,38.0
94353,39.0,38.0,41.0
94354,38.0,41.0,62.0
94355,41.0,62.0,76.0
94356,62.0,76.0,85.0
94357,76.0,85.0,91.0
94358,85.0,91.0,94.0
94359,91.0,94.0,98.0
94360,94.0,98.0,101.0
94361,87.0,70.0,55.0
94362,70.0,55.0,47.0
94363,55.0,47.0,42.0
94364,47.0,42.0,37.0
94365,42.0,37.0,36.0
94366,37.0,36.0,37.0
94367,36.0,37.0,50.0
94368,37.0,50.0,55.0
94369,50.0,55.0,65.0
94370,55.0,65.0,79.0
94371,65.0,79.0,101.0
94372,88.0,99.0,101.0
94373,77.0,71.0,63.0
94374,71.0,63.0,59.0
94375,63.0,59.0,56.0
94376,59.0,56.0,49.0
94377,56.0,49.0,42.0
94378,49.0,42.0,42.0
94379,42.0,42.0,39.0
94380,42.0,39.0,48.0
94381,39.0,48.0,39.0
94382,48.0,39.0,39.0
94383,39.0,39.0,39.0
94384,39.0,39.0,43.0
94385,39.0,43.0,51.0
94386,43.0,51.0,68.0
94387,51.0,68.0,73.0
94388,68.0,73.0,79.0
94389,73.0,79.0,84.0
94390,79.0,84.0,85.0
94391,84.0,85.0,101.0
94392,97.0,88.0,82.0
94393,88.0,82.0,78.0
94394,82.0,78.0,63.0
94395,78.0,63.0,62.0
94396,63.0,62.0,71.0
94397,62.0,71.0,82.0
94398,71.0,82.0,86.0
94399,82.0,86.0,93.0
94400,86.0,93.0,101.0
94401,64.0,37.0,34.0
94402,37.0,34.0,31.0
94403,34.0,31.0,29.0
94404,31.0,29.0,30.0
94405,29.0,30.0,33.0
94406,30.0,33.0,36.0
94407,33.0,36.0,37.0
94408,36.0,37.0,44.0
94409,37.0,44.0,50.0
94410,44.0,50.0,61.0
94411,50.0,61.0,66.0
94412,61.0,66.0,80.0
94413,66.0,80.0,100.0
94414,80.0,100.0,101.0
94415,75.0,55.0,46.0
94416,55.0,46.0,40.0
94417,46.0,40.0,33.0
94418,40.0,33.0,29.0
94419,33.0,29.0,22.0
94420,29.0,22.0,19.0
94421,22.0,19.0,17.0
94422,19.0,17.0,14.0
94423,17.0,14.0,14.0
94424,14.0,14.0,24.0
94425,14.0,24.0,36.0
94426,24.0,36.0,51.0
94427,36.0,51.0,73.0
94428,51.0,73.0,97.0
94429,73.0,97.0,101.0
94430,52.0,42.0,37.0
94431,42.0,37.0,34.0
94432,37.0,34.0,32.0
94433,34.0,32.0,32.0
94434,32.0,32.0,38.0
94435,32.0,38.0,42.0
94436,38.0,42.0,46.0
94437,42.0,46.0,58.0
94438,46.0,58.0,69.0
94439,58.0,69.0,76.0
94440,69.0,76.0,77.0
94441,76.0,77.0,94.0
94442,77.0,94.0,96.0
94443,94.0,96.0,97.0
94444,96.0,97.0,101.0
94445,96.0,83.0,83.0
94446,83.0,83.0,82.0
94447,83.0,82.0,82.0
94448,82.0,82.0,82.0
94449,82.0,82.0,82.0
94450,82.0,82.0,82.0
94451,82.0,82.0,94.0
94452,82.0,94.0,101.0
94453,95.0,90.0,85.0
94454,90.0,85.0,78.0
94455,85.0,78.0,69.0
94456,78.0,69.0,69.0
94457,69.0,69.0,63.0
94458,69.0,63.0,66.0
94459,63.0,66.0,73.0
94460,66.0,73.0,77.0
94461,73.0,77.0,86.0
94462,77.0,86.0,88.0
94463,86.0,88.0,100.0
94464,88.0,100.0,101.0
94465,69.0,51.0,37.0
94466,51.0,37.0,34.0
94467,37.0,34.0,24.0
94468,34.0,24.0,22.0
94469,24.0,22.0,20.0
94470,22.0,20.0,21.0
94471,20.0,21.0,16.0
94472,21.0,16.0,13.0
94473,16.0,13.0,15.0
94474,13.0,15.0,15.0
94475,15.0,15.0,14.0
94476,15.0,14.0,15.0
94477,14.0,15.0,15.0
94478,15.0,15.0,28.0
94479,15.0,28.0,29.0
94480,28.0,29.0,30.0
94481,29.0,30.0,36.0
94482,30.0,36.0,41.0
94483,36.0,41.0,46.0
94484,41.0,46.0,50.0
94485,46.0,50.0,101.0
94486,63.0,37.0,20.0
94487,37.0,20.0,16.0
94488,20.0,16.0,14.0
94489,16.0,14.0,9.0
94490,14.0,9.0,5.0
94491,9.0,5.0,4.0
94492,5.0,4.0,4.0
94493,4.0,4.0,4.0
94494,4.0,4.0,4.0
