,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
201,72.0,44.0,54.0,55.0,51.0,48.0,45.0,43.0
202,44.0,54.0,55.0,51.0,48.0,45.0,43.0,40.0
203,54.0,55.0,51.0,48.0,45.0,43.0,40.0,36.0
204,55.0,51.0,48.0,45.0,43.0,40.0,36.0,36.0
205,51.0,48.0,45.0,43.0,40.0,36.0,36.0,34.0
206,48.0,45.0,43.0,40.0,36.0,36.0,34.0,39.0
207,45.0,43.0,40.0,36.0,36.0,34.0,39.0,46.0
208,43.0,40.0,36.0,36.0,34.0,39.0,46.0,101.0
209,40.0,37.0,33.0,31.0,36.0,37.0,42.0,52.0
210,37.0,33.0,31.0,36.0,37.0,42.0,52.0,61.0
211,33.0,31.0,36.0,37.0,42.0,52.0,61.0,81.0
212,31.0,36.0,37.0,42.0,52.0,61.0,81.0,87.0
213,36.0,37.0,42.0,52.0,61.0,81.0,87.0,96.0
214,37.0,42.0,52.0,61.0,81.0,87.0,96.0,101.0
215,82.0,80.0,78.0,78.0,75.0,78.0,72.0,72.0
216,80.0,78.0,78.0,75.0,78.0,72.0,72.0,78.0
217,78.0,78.0,75.0,78.0,72.0,72.0,78.0,82.0
218,78.0,75.0,78.0,72.0,72.0,78.0,82.0,93.0
219,75.0,78.0,72.0,72.0,78.0,82.0,93.0,101.0
220,93.0,87.0,87.0,78.0,77.0,71.0,64.0,70.0
221,87.0,87.0,78.0,77.0,71.0,64.0,70.0,69.0
222,87.0,78.0,77.0,71.0,64.0,70.0,69.0,67.0
223,78.0,77.0,71.0,64.0,70.0,69.0,67.0,60.0
224,77.0,71.0,64.0,70.0,69.0,67.0,60.0,57.0
225,71.0,64.0,70.0,69.0,67.0,60.0,57.0,62.0
226,64.0,70.0,69.0,67.0,60.0,57.0,62.0,63.0
227,70.0,69.0,67.0,60.0,57.0,62.0,63.0,60.0
228,69.0,67.0,60.0,57.0,62.0,63.0,60.0,64.0
229,67.0,60.0,57.0,62.0,63.0,60.0,64.0,63.0
230,60.0,57.0,62.0,63.0,60.0,64.0,63.0,65.0
231,57.0,62.0,63.0,60.0,64.0,63.0,65.0,70.0
232,62.0,63.0,60.0,64.0,63.0,65.0,70.0,71.0
233,63.0,60.0,64.0,63.0,65.0,70.0,71.0,101.0
234,48.0,46.0,44.0,54.0,75.0,84.0,96.0,101.0
235,84.0,79.0,73.0,68.0,56.0,54.0,49.0,41.0
236,79.0,73.0,68.0,56.0,54.0,49.0,41.0,40.0
237,73.0,68.0,56.0,54.0,49.0,41.0,40.0,34.0
238,68.0,56.0,54.0,49.0,41.0,40.0,34.0,33.0
239,56.0,54.0,49.0,41.0,40.0,34.0,33.0,31.0
240,54.0,49.0,41.0,40.0,34.0,33.0,31.0,30.0
241,49.0,41.0,40.0,34.0,33.0,31.0,30.0,30.0
242,41.0,40.0,34.0,33.0,31.0,30.0,30.0,38.0
243,40.0,34.0,33.0,31.0,30.0,30.0,38.0,44.0
244,34.0,33.0,31.0,30.0,30.0,38.0,44.0,52.0
245,33.0,31.0,30.0,30.0,38.0,44.0,52.0,56.0
246,31.0,30.0,30.0,38.0,44.0,52.0,56.0,62.0
247,30.0,30.0,38.0,44.0,52.0,56.0,62.0,82.0
248,30.0,38.0,44.0,52.0,56.0,62.0,82.0,101.0
249,34.0,29.0,24.0,23.0,16.0,14.0,10.0,14.0
250,29.0,24.0,23.0,16.0,14.0,10.0,14.0,17.0
251,24.0,23.0,16.0,14.0,10.0,14.0,17.0,18.0
252,23.0,16.0,14.0,10.0,14.0,17.0,18.0,23.0
253,16.0,14.0,10.0,14.0,17.0,18.0,23.0,36.0
254,14.0,10.0,14.0,17.0,18.0,23.0,36.0,53.0
255,10.0,14.0,17.0,18.0,23.0,36.0,53.0,76.0
256,14.0,17.0,18.0,23.0,36.0,53.0,76.0,89.0
257,17.0,18.0,23.0,36.0,53.0,76.0,89.0,73.0
258,18.0,23.0,36.0,53.0,76.0,89.0,73.0,87.0
259,23.0,36.0,53.0,76.0,89.0,73.0,87.0,99.0
260,36.0,53.0,76.0,89.0,73.0,87.0,99.0,101.0
261,27.0,39.0,69.0,83.0,87.0,84.0,71.0,39.0
262,39.0,69.0,83.0,87.0,84.0,71.0,39.0,55.0
263,69.0,83.0,87.0,84.0,71.0,39.0,55.0,59.0
264,83.0,87.0,84.0,71.0,39.0,55.0,59.0,68.0
265,87.0,84.0,71.0,39.0,55.0,59.0,68.0,77.0
266,84.0,71.0,39.0,55.0,59.0,68.0,77.0,88.0
267,71.0,39.0,55.0,59.0,68.0,77.0,88.0,86.0
268,39.0,55.0,59.0,68.0,77.0,88.0,86.0,90.0
269,55.0,59.0,68.0,77.0,88.0,86.0,90.0,99.0
270,59.0,68.0,77.0,88.0,86.0,90.0,99.0,97.0
271,68.0,77.0,88.0,86.0,90.0,99.0,97.0,95.0
272,77.0,88.0,86.0,90.0,99.0,97.0,95.0,92.0
273,88.0,86.0,90.0,99.0,97.0,95.0,92.0,98.0
274,86.0,90.0,99.0,97.0,95.0,92.0,98.0,101.0
275,82.0,87.0,84.0,87.0,81.0,85.0,76.0,77.0
276,87.0,84.0,87.0,81.0,85.0,76.0,77.0,83.0
277,84.0,87.0,81.0,85.0,76.0,77.0,83.0,101.0
278,41.0,67.0,75.0,89.0,75.0,81.0,88.0,93.0
279,67.0,75.0,89.0,75.0,81.0,88.0,93.0,100.0
280,75.0,89.0,75.0,81.0,88.0,93.0,100.0,100.0
281,89.0,75.0,81.0,88.0,93.0,100.0,100.0,97.0
282,75.0,81.0,88.0,93.0,100.0,100.0,97.0,101.0
283,17.0,14.0,18.0,9.0,8.0,5.0,4.0,4.0
284,14.0,18.0,9.0,8.0,5.0,4.0,4.0,4.0
285,18.0,9.0,8.0,5.0,4.0,4.0,4.0,3.0
286,9.0,8.0,5.0,4.0,4.0,4.0,3.0,1.0
287,8.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0
288,5.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0
289,4.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0
290,4.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0
