,diff_0,diff_1,target
847,36.0,40.0,43.0
848,40.0,43.0,40.0
849,43.0,40.0,43.0
850,40.0,43.0,41.0
851,43.0,41.0,42.0
852,41.0,42.0,47.0
853,42.0,47.0,101.0
854,11.0,12.0,6.0
855,12.0,6.0,3.0
856,97.0,97.0,80.0
857,97.0,80.0,76.0
858,80.0,76.0,77.0
859,76.0,77.0,76.0
860,77.0,76.0,73.0
861,76.0,73.0,70.0
862,73.0,70.0,74.0
863,70.0,74.0,78.0
864,74.0,78.0,81.0
865,78.0,81.0,82.0
866,81.0,82.0,81.0
867,69.0,85.0,101.0
868,13.0,14.0,17.0
869,14.0,17.0,16.0
870,17.0,16.0,15.0
871,16.0,15.0,21.0
872,15.0,21.0,27.0
873,21.0,27.0,32.0
874,27.0,32.0,34.0
875,32.0,34.0,41.0
876,34.0,41.0,48.0
877,41.0,48.0,101.0
878,75.0,60.0,57.0
879,60.0,57.0,36.0
880,57.0,36.0,37.0
881,36.0,37.0,34.0
882,37.0,34.0,26.0
883,34.0,26.0,22.0
884,26.0,22.0,17.0
885,22.0,17.0,15.0
886,17.0,15.0,12.0
887,15.0,12.0,14.0
888,12.0,14.0,16.0
889,14.0,16.0,15.0
890,16.0,15.0,14.0
891,15.0,14.0,14.0
892,14.0,14.0,16.0
893,81.0,64.0,55.0
894,64.0,55.0,53.0
895,55.0,53.0,53.0
896,53.0,53.0,48.0
897,53.0,48.0,45.0
898,48.0,45.0,28.0
899,45.0,28.0,27.0
900,28.0,27.0,33.0
901,27.0,33.0,27.0
902,33.0,27.0,24.0
903,27.0,24.0,21.0
904,46.0,55.0,50.0
905,55.0,50.0,44.0
906,50.0,44.0,49.0
907,44.0,49.0,51.0
908,49.0,51.0,53.0
909,51.0,53.0,77.0
910,53.0,77.0,101.0
911,96.0,94.0,72.0
912,94.0,72.0,33.0
913,72.0,33.0,21.0
914,33.0,21.0,14.0
915,32.0,32.0,31.0
916,32.0,31.0,26.0
917,31.0,26.0,28.0
918,26.0,28.0,35.0
919,28.0,35.0,38.0
920,35.0,38.0,43.0
921,38.0,43.0,54.0
922,43.0,54.0,63.0
923,54.0,63.0,72.0
924,63.0,72.0,79.0
925,72.0,79.0,87.0
926,79.0,87.0,101.0
927,8.0,20.0,70.0
928,20.0,70.0,78.0
929,70.0,78.0,82.0
930,1.0,7.0,6.0
931,7.0,6.0,6.0
932,6.0,6.0,6.0
933,6.0,6.0,6.0
934,6.0,6.0,6.0
935,6.0,6.0,8.0
936,6.0,8.0,4.0
937,92.0,93.0,93.0
938,93.0,93.0,100.0
939,93.0,100.0,89.0
940,100.0,89.0,89.0
941,89.0,89.0,91.0
942,89.0,91.0,92.0
943,91.0,92.0,100.0
944,92.0,100.0,101.0
945,92.0,82.0,83.0
946,82.0,83.0,85.0
947,83.0,85.0,75.0
948,85.0,75.0,70.0
949,75.0,70.0,67.0
950,85.0,100.0,95.0
951,100.0,95.0,86.0
952,95.0,86.0,101.0
953,86.0,74.0,94.0
954,74.0,94.0,95.0
955,94.0,95.0,101.0
956,94.0,79.0,83.0
