,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,target
157,41.0,40.0,34.0,33.0,31.0,30.0,30.0,38.0,44.0,52.0
158,40.0,34.0,33.0,31.0,30.0,30.0,38.0,44.0,52.0,56.0
159,34.0,33.0,31.0,30.0,30.0,38.0,44.0,52.0,56.0,62.0
160,33.0,31.0,30.0,30.0,38.0,44.0,52.0,56.0,62.0,82.0
161,31.0,30.0,30.0,38.0,44.0,52.0,56.0,62.0,82.0,101.0
162,34.0,29.0,24.0,23.0,16.0,14.0,10.0,14.0,17.0,18.0
163,29.0,24.0,23.0,16.0,14.0,10.0,14.0,17.0,18.0,23.0
164,24.0,23.0,16.0,14.0,10.0,14.0,17.0,18.0,23.0,36.0
165,23.0,16.0,14.0,10.0,14.0,17.0,18.0,23.0,36.0,53.0
166,16.0,14.0,10.0,14.0,17.0,18.0,23.0,36.0,53.0,76.0
167,14.0,10.0,14.0,17.0,18.0,23.0,36.0,53.0,76.0,89.0
168,10.0,14.0,17.0,18.0,23.0,36.0,53.0,76.0,89.0,73.0
169,14.0,17.0,18.0,23.0,36.0,53.0,76.0,89.0,73.0,87.0
170,17.0,18.0,23.0,36.0,53.0,76.0,89.0,73.0,87.0,99.0
171,18.0,23.0,36.0,53.0,76.0,89.0,73.0,87.0,99.0,101.0
172,27.0,39.0,69.0,83.0,87.0,84.0,71.0,39.0,55.0,59.0
173,39.0,69.0,83.0,87.0,84.0,71.0,39.0,55.0,59.0,68.0
174,69.0,83.0,87.0,84.0,71.0,39.0,55.0,59.0,68.0,77.0
175,83.0,87.0,84.0,71.0,39.0,55.0,59.0,68.0,77.0,88.0
176,87.0,84.0,71.0,39.0,55.0,59.0,68.0,77.0,88.0,86.0
177,84.0,71.0,39.0,55.0,59.0,68.0,77.0,88.0,86.0,90.0
178,71.0,39.0,55.0,59.0,68.0,77.0,88.0,86.0,90.0,99.0
179,39.0,55.0,59.0,68.0,77.0,88.0,86.0,90.0,99.0,97.0
180,55.0,59.0,68.0,77.0,88.0,86.0,90.0,99.0,97.0,95.0
181,59.0,68.0,77.0,88.0,86.0,90.0,99.0,97.0,95.0,92.0
182,68.0,77.0,88.0,86.0,90.0,99.0,97.0,95.0,92.0,98.0
183,77.0,88.0,86.0,90.0,99.0,97.0,95.0,92.0,98.0,101.0
184,17.0,14.0,18.0,9.0,8.0,5.0,4.0,4.0,4.0,3.0
185,14.0,18.0,9.0,8.0,5.0,4.0,4.0,4.0,3.0,1.0
186,18.0,9.0,8.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0
187,9.0,8.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0
188,8.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0
189,5.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0
190,4.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0,5.0
191,4.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0,5.0,8.0
192,4.0,3.0,1.0,1.0,2.0,2.0,4.0,5.0,8.0,11.0
193,3.0,1.0,1.0,2.0,2.0,4.0,5.0,8.0,11.0,13.0
194,1.0,1.0,2.0,2.0,4.0,5.0,8.0,11.0,13.0,14.0
195,1.0,2.0,2.0,4.0,5.0,8.0,11.0,13.0,14.0,17.0
196,2.0,2.0,4.0,5.0,8.0,11.0,13.0,14.0,17.0,19.0
197,2.0,4.0,5.0,8.0,11.0,13.0,14.0,17.0,19.0,20.0
198,4.0,5.0,8.0,11.0,13.0,14.0,17.0,19.0,20.0,21.0
199,5.0,8.0,11.0,13.0,14.0,17.0,19.0,20.0,21.0,18.0
200,8.0,11.0,13.0,14.0,17.0,19.0,20.0,21.0,18.0,24.0
201,11.0,13.0,14.0,17.0,19.0,20.0,21.0,18.0,24.0,29.0
202,13.0,14.0,17.0,19.0,20.0,21.0,18.0,24.0,29.0,31.0
