,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,target
125,11.0,12.0,12.0,17.0,19.0,23.0,33.0,37.0,36.0,49.0
126,12.0,12.0,17.0,19.0,23.0,33.0,37.0,36.0,49.0,101.0
127,84.0,78.0,74.0,74.0,77.0,79.0,76.0,70.0,70.0,73.0
128,78.0,74.0,74.0,77.0,79.0,76.0,70.0,70.0,73.0,71.0
129,74.0,74.0,77.0,79.0,76.0,70.0,70.0,73.0,71.0,77.0
130,74.0,77.0,79.0,76.0,70.0,70.0,73.0,71.0,77.0,81.0
131,77.0,79.0,76.0,70.0,70.0,73.0,71.0,77.0,81.0,67.0
132,79.0,76.0,70.0,70.0,73.0,71.0,77.0,81.0,67.0,68.0
133,76.0,70.0,70.0,73.0,71.0,77.0,81.0,67.0,68.0,67.0
134,70.0,70.0,73.0,71.0,77.0,81.0,67.0,68.0,67.0,78.0
135,70.0,73.0,71.0,77.0,81.0,67.0,68.0,67.0,78.0,91.0
136,73.0,71.0,77.0,81.0,67.0,68.0,67.0,78.0,91.0,91.0
137,71.0,77.0,81.0,67.0,68.0,67.0,78.0,91.0,91.0,96.0
138,77.0,81.0,67.0,68.0,67.0,78.0,91.0,91.0,96.0,101.0
139,75.0,68.0,63.0,60.0,55.0,55.0,55.0,64.0,64.0,67.0
140,68.0,63.0,60.0,55.0,55.0,55.0,64.0,64.0,67.0,71.0
141,63.0,60.0,55.0,55.0,55.0,64.0,64.0,67.0,71.0,75.0
142,60.0,55.0,55.0,55.0,64.0,64.0,67.0,71.0,75.0,71.0
143,55.0,55.0,55.0,64.0,64.0,67.0,71.0,75.0,71.0,71.0
144,55.0,55.0,64.0,64.0,67.0,71.0,75.0,71.0,71.0,73.0
145,55.0,64.0,64.0,67.0,71.0,75.0,71.0,71.0,73.0,70.0
146,64.0,64.0,67.0,71.0,75.0,71.0,71.0,73.0,70.0,68.0
147,64.0,67.0,71.0,75.0,71.0,71.0,73.0,70.0,68.0,67.0
148,67.0,71.0,75.0,71.0,71.0,73.0,70.0,68.0,67.0,69.0
149,71.0,75.0,71.0,71.0,73.0,70.0,68.0,67.0,69.0,66.0
150,75.0,71.0,71.0,73.0,70.0,68.0,67.0,69.0,66.0,101.0
151,74.0,54.0,42.0,40.0,35.0,35.0,35.0,35.0,35.0,39.0
152,54.0,42.0,40.0,35.0,35.0,35.0,35.0,35.0,39.0,37.0
153,42.0,40.0,35.0,35.0,35.0,35.0,35.0,39.0,37.0,37.0
154,40.0,35.0,35.0,35.0,35.0,35.0,39.0,37.0,37.0,37.0
155,35.0,35.0,35.0,35.0,35.0,39.0,37.0,37.0,37.0,59.0
156,35.0,35.0,35.0,35.0,39.0,37.0,37.0,37.0,59.0,64.0
157,35.0,35.0,35.0,39.0,37.0,37.0,37.0,59.0,64.0,67.0
158,35.0,35.0,39.0,37.0,37.0,37.0,59.0,64.0,67.0,71.0
159,35.0,39.0,37.0,37.0,37.0,59.0,64.0,67.0,71.0,82.0
160,39.0,37.0,37.0,37.0,59.0,64.0,67.0,71.0,82.0,84.0
161,37.0,37.0,37.0,59.0,64.0,67.0,71.0,82.0,84.0,98.0
162,37.0,37.0,59.0,64.0,67.0,71.0,82.0,84.0,98.0,101.0
163,97.0,88.0,85.0,83.0,84.0,81.0,72.0,44.0,54.0,55.0
164,88.0,85.0,83.0,84.0,81.0,72.0,44.0,54.0,55.0,51.0
165,85.0,83.0,84.0,81.0,72.0,44.0,54.0,55.0,51.0,48.0
166,83.0,84.0,81.0,72.0,44.0,54.0,55.0,51.0,48.0,45.0
167,84.0,81.0,72.0,44.0,54.0,55.0,51.0,48.0,45.0,43.0
168,81.0,72.0,44.0,54.0,55.0,51.0,48.0,45.0,43.0,40.0
169,72.0,44.0,54.0,55.0,51.0,48.0,45.0,43.0,40.0,36.0
170,44.0,54.0,55.0,51.0,48.0,45.0,43.0,40.0,36.0,36.0
171,54.0,55.0,51.0,48.0,45.0,43.0,40.0,36.0,36.0,34.0
172,55.0,51.0,48.0,45.0,43.0,40.0,36.0,36.0,34.0,39.0
173,51.0,48.0,45.0,43.0,40.0,36.0,36.0,34.0,39.0,46.0
174,48.0,45.0,43.0,40.0,36.0,36.0,34.0,39.0,46.0,101.0
175,40.0,37.0,33.0,31.0,36.0,37.0,42.0,52.0,61.0,81.0
176,37.0,33.0,31.0,36.0,37.0,42.0,52.0,61.0,81.0,87.0
177,33.0,31.0,36.0,37.0,42.0,52.0,61.0,81.0,87.0,96.0
178,31.0,36.0,37.0,42.0,52.0,61.0,81.0,87.0,96.0,101.0
179,82.0,80.0,78.0,78.0,75.0,78.0,72.0,72.0,78.0,82.0
180,80.0,78.0,78.0,75.0,78.0,72.0,72.0,78.0,82.0,93.0
181,78.0,78.0,75.0,78.0,72.0,72.0,78.0,82.0,93.0,101.0
182,93.0,87.0,87.0,78.0,77.0,71.0,64.0,70.0,69.0,67.0
183,87.0,87.0,78.0,77.0,71.0,64.0,70.0,69.0,67.0,60.0
184,87.0,78.0,77.0,71.0,64.0,70.0,69.0,67.0,60.0,57.0
185,78.0,77.0,71.0,64.0,70.0,69.0,67.0,60.0,57.0,62.0
186,77.0,71.0,64.0,70.0,69.0,67.0,60.0,57.0,62.0,63.0
187,71.0,64.0,70.0,69.0,67.0,60.0,57.0,62.0,63.0,60.0
188,64.0,70.0,69.0,67.0,60.0,57.0,62.0,63.0,60.0,64.0
189,70.0,69.0,67.0,60.0,57.0,62.0,63.0,60.0,64.0,63.0
190,69.0,67.0,60.0,57.0,62.0,63.0,60.0,64.0,63.0,65.0
191,67.0,60.0,57.0,62.0,63.0,60.0,64.0,63.0,65.0,70.0
192,60.0,57.0,62.0,63.0,60.0,64.0,63.0,65.0,70.0,71.0
193,57.0,62.0,63.0,60.0,64.0,63.0,65.0,70.0,71.0,101.0
194,84.0,79.0,73.0,68.0,56.0,54.0,49.0,41.0,40.0,34.0
195,79.0,73.0,68.0,56.0,54.0,49.0,41.0,40.0,34.0,33.0
196,73.0,68.0,56.0,54.0,49.0,41.0,40.0,34.0,33.0,31.0
197,68.0,56.0,54.0,49.0,41.0,40.0,34.0,33.0,31.0,30.0
198,56.0,54.0,49.0,41.0,40.0,34.0,33.0,31.0,30.0,30.0
199,54.0,49.0,41.0,40.0,34.0,33.0,31.0,30.0,30.0,38.0
200,49.0,41.0,40.0,34.0,33.0,31.0,30.0,30.0,38.0,44.0
201,41.0,40.0,34.0,33.0,31.0,30.0,30.0,38.0,44.0,52.0
