,diff_0,diff_1,diff_2,target
354,36.0,26.0,30.0,26.0
355,26.0,30.0,26.0,29.0
356,24.0,33.0,35.0,39.0
357,33.0,35.0,39.0,50.0
358,35.0,39.0,50.0,53.0
359,39.0,50.0,53.0,51.0
360,50.0,53.0,51.0,89.0
361,53.0,51.0,89.0,101.0
362,100.0,70.0,66.0,62.0
363,70.0,66.0,62.0,54.0
364,66.0,62.0,54.0,52.0
365,62.0,54.0,52.0,56.0
366,54.0,52.0,56.0,56.0
367,52.0,56.0,56.0,58.0
368,56.0,56.0,58.0,65.0
369,56.0,58.0,65.0,77.0
370,58.0,65.0,77.0,97.0
371,65.0,77.0,97.0,101.0
372,96.0,100.0,99.0,101.0
373,65.0,66.0,65.0,56.0
374,66.0,65.0,56.0,54.0
375,65.0,56.0,54.0,61.0
376,56.0,54.0,61.0,74.0
377,54.0,61.0,74.0,93.0
378,61.0,74.0,93.0,101.0
379,54.0,63.0,74.0,75.0
380,63.0,74.0,75.0,72.0
381,74.0,75.0,72.0,92.0
382,75.0,72.0,92.0,101.0
383,86.0,83.0,62.0,62.0
384,83.0,62.0,62.0,81.0
385,62.0,62.0,81.0,83.0
386,62.0,81.0,83.0,70.0
387,81.0,83.0,70.0,84.0
388,83.0,70.0,84.0,87.0
389,70.0,84.0,87.0,90.0
390,84.0,87.0,90.0,101.0
391,77.0,62.0,39.0,42.0
392,62.0,39.0,42.0,42.0
393,39.0,42.0,42.0,37.0
394,42.0,42.0,37.0,21.0
395,42.0,37.0,21.0,7.0
396,37.0,21.0,7.0,13.0
397,21.0,7.0,13.0,12.0
398,7.0,13.0,12.0,11.0
399,13.0,12.0,11.0,11.0
400,12.0,11.0,11.0,15.0
401,11.0,11.0,15.0,13.0
402,11.0,15.0,13.0,15.0
403,15.0,13.0,15.0,15.0
404,13.0,15.0,15.0,17.0
405,97.0,98.0,94.0,92.0
406,98.0,94.0,92.0,85.0
407,76.0,70.0,60.0,58.0
408,70.0,60.0,58.0,58.0
409,60.0,58.0,58.0,55.0
410,58.0,58.0,55.0,42.0
411,58.0,55.0,42.0,44.0
412,55.0,42.0,44.0,46.0
413,42.0,44.0,46.0,48.0
414,44.0,46.0,48.0,56.0
415,46.0,48.0,56.0,75.0
416,48.0,56.0,75.0,80.0
417,1.0,1.0,1.0,1.0
418,1.0,1.0,1.0,2.0
419,1.0,1.0,2.0,2.0
420,1.0,2.0,2.0,3.0
421,2.0,2.0,3.0,4.0
422,2.0,3.0,4.0,5.0
423,3.0,4.0,5.0,6.0
424,4.0,5.0,6.0,7.0
425,5.0,6.0,7.0,8.0
426,6.0,7.0,8.0,11.0
427,7.0,8.0,11.0,12.0
428,8.0,11.0,12.0,16.0
429,11.0,12.0,16.0,19.0
430,12.0,16.0,19.0,19.0
431,8.0,8.0,7.0,8.0
432,8.0,7.0,8.0,9.0
433,7.0,8.0,9.0,6.0
434,8.0,9.0,6.0,5.0
435,9.0,6.0,5.0,10.0
436,6.0,5.0,10.0,12.0
437,5.0,10.0,12.0,19.0
438,10.0,12.0,19.0,21.0
439,12.0,19.0,21.0,26.0
440,19.0,21.0,26.0,33.0
441,21.0,26.0,33.0,32.0
442,26.0,33.0,32.0,39.0
443,33.0,32.0,39.0,47.0
444,32.0,39.0,47.0,101.0
445,48.0,41.0,42.0,31.0
446,41.0,42.0,31.0,33.0
447,42.0,31.0,33.0,31.0
448,31.0,33.0,31.0,30.0
449,33.0,31.0,30.0,24.0
450,31.0,30.0,24.0,25.0
451,30.0,24.0,25.0,24.0
452,24.0,25.0,24.0,26.0
453,25.0,24.0,26.0,23.0
454,24.0,26.0,23.0,31.0
455,26.0,23.0,31.0,37.0
456,23.0,31.0,37.0,41.0
457,31.0,37.0,41.0,46.0
458,37.0,41.0,46.0,101.0
459,92.0,96.0,96.0,98.0
460,96.0,96.0,98.0,100.0
461,96.0,98.0,100.0,101.0
462,45.0,52.0,34.0,37.0
463,52.0,34.0,37.0,101.0
464,98.0,96.0,80.0,88.0
465,96.0,80.0,88.0,90.0
466,80.0,88.0,90.0,81.0
467,88.0,90.0,81.0,86.0
468,90.0,81.0,86.0,86.0
469,81.0,86.0,86.0,93.0
470,86.0,86.0,93.0,68.0
471,86.0,93.0,68.0,84.0
472,93.0,68.0,84.0,101.0
473,67.0,61.0,60.0,53.0
474,61.0,60.0,53.0,51.0
475,60.0,53.0,51.0,48.0
476,53.0,51.0,48.0,44.0
477,51.0,48.0,44.0,38.0
478,48.0,44.0,38.0,40.0
479,44.0,38.0,40.0,43.0
480,38.0,40.0,43.0,52.0
481,40.0,43.0,52.0,56.0
482,43.0,52.0,56.0,63.0
483,52.0,56.0,63.0,70.0
484,56.0,63.0,70.0,85.0
485,63.0,70.0,85.0,91.0
486,70.0,85.0,91.0,90.0
487,3.0,3.0,4.0,4.0
488,3.0,4.0,4.0,4.0
489,4.0,4.0,4.0,7.0
490,4.0,4.0,7.0,9.0
491,4.0,7.0,9.0,14.0
492,7.0,9.0,14.0,18.0
493,9.0,14.0,18.0,16.0
494,14.0,18.0,16.0,19.0
495,18.0,16.0,19.0,21.0
496,16.0,19.0,21.0,24.0
497,19.0,21.0,24.0,27.0
498,21.0,24.0,27.0,28.0
499,24.0,27.0,28.0,34.0
500,27.0,28.0,34.0,38.0
501,88.0,73.0,67.0,57.0
502,73.0,67.0,57.0,58.0
503,67.0,57.0,58.0,51.0
504,57.0,58.0,51.0,44.0
505,71.0,71.0,69.0,64.0
506,71.0,69.0,64.0,58.0
507,69.0,64.0,58.0,56.0
508,64.0,58.0,56.0,59.0
509,58.0,56.0,59.0,73.0
510,56.0,59.0,73.0,101.0
511,52.0,46.0,33.0,28.0
512,46.0,33.0,28.0,22.0
513,33.0,28.0,22.0,20.0
514,28.0,22.0,20.0,24.0
515,22.0,20.0,24.0,25.0
516,20.0,24.0,25.0,26.0
517,24.0,25.0,26.0,28.0
518,25.0,26.0,28.0,37.0
519,26.0,28.0,37.0,51.0
520,28.0,37.0,51.0,61.0
521,37.0,51.0,61.0,71.0
522,51.0,61.0,71.0,82.0
523,61.0,71.0,82.0,88.0
524,71.0,82.0,88.0,86.0
525,87.0,81.0,79.0,78.0
526,81.0,79.0,78.0,72.0
527,79.0,78.0,72.0,72.0
528,78.0,72.0,72.0,67.0
529,72.0,72.0,67.0,67.0
530,72.0,67.0,67.0,56.0
531,67.0,67.0,56.0,52.0
532,74.0,73.0,70.0,65.0
533,73.0,70.0,65.0,57.0
534,70.0,65.0,57.0,59.0
535,65.0,57.0,59.0,56.0
536,57.0,59.0,56.0,68.0
537,59.0,56.0,68.0,75.0
538,56.0,68.0,75.0,90.0
539,68.0,75.0,90.0,99.0
540,75.0,90.0,99.0,99.0
541,90.0,99.0,99.0,101.0
542,79.0,59.0,48.0,33.0
543,59.0,48.0,33.0,24.0
544,48.0,33.0,24.0,15.0
545,33.0,24.0,15.0,14.0
546,24.0,15.0,14.0,10.0
547,15.0,14.0,10.0,11.0
548,14.0,10.0,11.0,10.0
549,10.0,11.0,10.0,9.0
550,51.0,59.0,59.0,58.0
551,59.0,59.0,58.0,67.0
552,59.0,58.0,67.0,67.0
553,58.0,67.0,67.0,75.0
554,67.0,67.0,75.0,101.0
555,19.0,12.0,15.0,20.0
556,12.0,15.0,20.0,16.0
557,15.0,20.0,16.0,15.0
558,20.0,16.0,15.0,13.0
559,16.0,15.0,13.0,13.0
560,15.0,13.0,13.0,16.0
561,13.0,13.0,16.0,14.0
562,13.0,16.0,14.0,15.0
563,16.0,14.0,15.0,19.0
564,14.0,15.0,19.0,28.0
565,15.0,19.0,28.0,36.0
566,19.0,28.0,36.0,47.0
567,28.0,36.0,47.0,52.0
568,36.0,47.0,52.0,101.0
569,84.0,79.0,68.0,55.0
570,79.0,68.0,55.0,48.0
571,68.0,55.0,48.0,57.0
572,55.0,48.0,57.0,52.0
573,48.0,57.0,52.0,51.0
574,57.0,52.0,51.0,64.0
575,52.0,51.0,64.0,86.0
576,51.0,64.0,86.0,94.0
577,64.0,86.0,94.0,101.0
578,69.0,65.0,66.0,73.0
579,65.0,66.0,73.0,74.0
580,66.0,73.0,74.0,78.0
581,73.0,74.0,78.0,79.0
582,74.0,78.0,79.0,69.0
583,14.0,13.0,12.0,13.0
584,13.0,12.0,13.0,12.0
585,12.0,13.0,12.0,12.0
586,13.0,12.0,12.0,14.0
587,12.0,12.0,14.0,20.0
588,12.0,14.0,20.0,22.0
589,14.0,20.0,22.0,22.0
590,20.0,22.0,22.0,23.0
591,22.0,22.0,23.0,24.0
592,22.0,23.0,24.0,22.0
593,23.0,24.0,22.0,23.0
594,24.0,22.0,23.0,24.0
595,22.0,23.0,24.0,27.0
596,23.0,24.0,27.0,32.0
597,58.0,75.0,78.0,88.0
598,75.0,78.0,88.0,82.0
599,78.0,88.0,82.0,88.0
600,88.0,82.0,88.0,93.0
601,82.0,88.0,93.0,101.0
602,17.0,25.0,28.0,33.0
603,25.0,28.0,33.0,31.0
604,28.0,33.0,31.0,32.0
605,33.0,31.0,32.0,36.0
606,31.0,32.0,36.0,36.0
607,32.0,36.0,36.0,41.0
608,36.0,36.0,41.0,46.0
609,36.0,41.0,46.0,49.0
610,41.0,46.0,49.0,49.0
611,46.0,49.0,49.0,48.0
612,49.0,49.0,48.0,101.0
613,98.0,90.0,90.0,87.0
614,90.0,90.0,87.0,86.0
615,90.0,87.0,86.0,75.0
616,87.0,86.0,75.0,80.0
617,86.0,75.0,80.0,75.0
618,75.0,80.0,75.0,38.0
619,80.0,75.0,38.0,35.0
620,75.0,38.0,35.0,52.0
621,38.0,35.0,52.0,50.0
622,35.0,52.0,50.0,38.0
623,52.0,50.0,38.0,35.0
624,50.0,38.0,35.0,30.0
625,10.0,10.0,10.0,10.0
626,10.0,10.0,10.0,10.0
627,10.0,10.0,10.0,9.0
628,10.0,10.0,9.0,11.0
629,10.0,9.0,11.0,15.0
630,9.0,11.0,15.0,20.0
631,11.0,15.0,20.0,27.0
632,15.0,20.0,27.0,29.0
633,20.0,27.0,29.0,31.0
634,27.0,29.0,31.0,37.0
635,29.0,31.0,37.0,42.0
636,31.0,37.0,42.0,46.0
637,37.0,42.0,46.0,41.0
638,42.0,46.0,41.0,46.0
639,99.0,89.0,83.0,82.0
640,89.0,83.0,82.0,86.0
641,83.0,82.0,86.0,88.0
642,82.0,86.0,88.0,85.0
643,86.0,88.0,85.0,79.0
644,33.0,37.0,46.0,40.0
645,37.0,46.0,40.0,45.0
646,46.0,40.0,45.0,49.0
647,40.0,45.0,49.0,48.0
648,45.0,49.0,48.0,101.0
649,75.0,86.0,87.0,79.0
650,86.0,87.0,79.0,67.0
651,87.0,79.0,67.0,47.0
652,5.0,4.0,3.0,3.0
653,4.0,3.0,3.0,3.0
654,3.0,3.0,3.0,3.0
655,3.0,3.0,3.0,2.0
656,3.0,3.0,2.0,1.0
657,3.0,2.0,1.0,2.0
658,2.0,1.0,2.0,1.0
659,1.0,2.0,1.0,2.0
660,2.0,1.0,2.0,2.0
661,1.0,2.0,2.0,2.0
662,2.0,2.0,2.0,2.0
663,2.0,2.0,2.0,2.0
664,2.0,2.0,2.0,3.0
665,2.0,2.0,3.0,5.0
666,52.0,59.0,53.0,56.0
667,59.0,53.0,56.0,43.0
668,53.0,56.0,43.0,35.0
669,56.0,43.0,35.0,29.0
670,43.0,35.0,29.0,28.0
671,36.0,40.0,36.0,35.0
672,40.0,36.0,35.0,29.0
673,36.0,35.0,29.0,19.0
674,35.0,29.0,19.0,16.0
675,29.0,19.0,16.0,12.0
676,19.0,16.0,12.0,10.0
677,16.0,12.0,10.0,8.0
678,12.0,10.0,8.0,8.0
679,10.0,8.0,8.0,7.0
680,8.0,8.0,7.0,7.0
681,8.0,7.0,7.0,7.0
682,7.0,7.0,7.0,7.0
683,7.0,7.0,7.0,7.0
684,7.0,7.0,7.0,8.0
685,95.0,88.0,79.0,73.0
686,88.0,79.0,73.0,70.0
687,79.0,73.0,70.0,57.0
688,73.0,70.0,57.0,50.0
689,70.0,57.0,50.0,31.0
690,57.0,50.0,31.0,26.0
691,50.0,31.0,26.0,20.0
692,31.0,26.0,20.0,22.0
693,85.0,80.0,78.0,82.0
694,80.0,78.0,82.0,84.0
695,78.0,82.0,84.0,83.0
696,82.0,84.0,83.0,78.0
697,100.0,96.0,94.0,83.0
698,96.0,94.0,83.0,81.0
699,94.0,83.0,81.0,77.0
700,85.0,84.0,88.0,86.0
701,84.0,88.0,86.0,84.0
702,88.0,86.0,84.0,74.0
703,92.0,84.0,86.0,85.0
704,84.0,86.0,85.0,85.0
705,86.0,85.0,85.0,101.0
706,91.0,71.0,65.0,63.0
707,71.0,65.0,63.0,55.0
708,65.0,63.0,55.0,55.0
709,63.0,55.0,55.0,51.0
710,55.0,55.0,51.0,53.0
711,55.0,51.0,53.0,53.0
712,51.0,53.0,53.0,50.0
713,55.0,51.0,37.0,34.0
714,51.0,37.0,34.0,32.0
715,37.0,34.0,32.0,23.0
716,34.0,32.0,23.0,12.0
717,32.0,23.0,12.0,5.0
718,23.0,12.0,5.0,8.0
719,12.0,5.0,8.0,5.0
720,5.0,8.0,5.0,5.0
721,8.0,5.0,5.0,5.0
722,5.0,5.0,5.0,4.0
723,5.0,5.0,4.0,4.0
724,5.0,4.0,4.0,5.0
725,4.0,4.0,5.0,4.0
726,4.0,5.0,4.0,6.0
727,91.0,84.0,74.0,64.0
728,84.0,74.0,64.0,66.0
729,74.0,64.0,66.0,68.0
730,64.0,66.0,68.0,71.0
731,66.0,68.0,71.0,64.0
732,68.0,71.0,64.0,59.0
733,83.0,58.0,34.0,22.0
734,58.0,34.0,22.0,19.0
735,34.0,22.0,19.0,17.0
736,22.0,19.0,17.0,15.0
737,82.0,80.0,71.0,60.0
738,80.0,71.0,60.0,64.0
739,71.0,60.0,64.0,76.0
740,60.0,64.0,76.0,87.0
741,64.0,76.0,87.0,101.0
742,73.0,69.0,62.0,61.0
