,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
205,39.0,69.0,83.0,87.0,84.0,71.0,39.0,55.0
206,69.0,83.0,87.0,84.0,71.0,39.0,55.0,59.0
207,83.0,87.0,84.0,71.0,39.0,55.0,59.0,68.0
208,87.0,84.0,71.0,39.0,55.0,59.0,68.0,77.0
209,84.0,71.0,39.0,55.0,59.0,68.0,77.0,88.0
210,71.0,39.0,55.0,59.0,68.0,77.0,88.0,86.0
211,39.0,55.0,59.0,68.0,77.0,88.0,86.0,90.0
212,55.0,59.0,68.0,77.0,88.0,86.0,90.0,99.0
213,59.0,68.0,77.0,88.0,86.0,90.0,99.0,97.0
214,68.0,77.0,88.0,86.0,90.0,99.0,97.0,95.0
215,77.0,88.0,86.0,90.0,99.0,97.0,95.0,92.0
216,88.0,86.0,90.0,99.0,97.0,95.0,92.0,98.0
217,86.0,90.0,99.0,97.0,95.0,92.0,98.0,101.0
218,17.0,14.0,18.0,9.0,8.0,5.0,4.0,4.0
219,14.0,18.0,9.0,8.0,5.0,4.0,4.0,4.0
220,18.0,9.0,8.0,5.0,4.0,4.0,4.0,3.0
221,9.0,8.0,5.0,4.0,4.0,4.0,3.0,1.0
222,8.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0
223,5.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0
224,4.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0
225,4.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0
226,4.0,3.0,1.0,1.0,2.0,2.0,4.0,5.0
227,3.0,1.0,1.0,2.0,2.0,4.0,5.0,8.0
228,1.0,1.0,2.0,2.0,4.0,5.0,8.0,11.0
229,1.0,2.0,2.0,4.0,5.0,8.0,11.0,13.0
230,2.0,2.0,4.0,5.0,8.0,11.0,13.0,14.0
231,2.0,4.0,5.0,8.0,11.0,13.0,14.0,17.0
232,4.0,5.0,8.0,11.0,13.0,14.0,17.0,19.0
233,5.0,8.0,11.0,13.0,14.0,17.0,19.0,20.0
234,8.0,11.0,13.0,14.0,17.0,19.0,20.0,21.0
235,11.0,13.0,14.0,17.0,19.0,20.0,21.0,18.0
236,13.0,14.0,17.0,19.0,20.0,21.0,18.0,24.0
237,14.0,17.0,19.0,20.0,21.0,18.0,24.0,29.0
238,17.0,19.0,20.0,21.0,18.0,24.0,29.0,31.0
239,19.0,20.0,21.0,18.0,24.0,29.0,31.0,38.0
240,20.0,21.0,18.0,24.0,29.0,31.0,38.0,46.0
241,21.0,18.0,24.0,29.0,31.0,38.0,46.0,46.0
242,18.0,24.0,29.0,31.0,38.0,46.0,46.0,49.0
243,24.0,29.0,31.0,38.0,46.0,46.0,49.0,101.0
244,61.0,28.0,8.0,27.0,51.0,76.0,82.0,86.0
245,28.0,8.0,27.0,51.0,76.0,82.0,86.0,83.0
246,8.0,27.0,51.0,76.0,82.0,86.0,83.0,85.0
247,27.0,51.0,76.0,82.0,86.0,83.0,85.0,96.0
248,51.0,76.0,82.0,86.0,83.0,85.0,96.0,101.0
249,91.0,62.0,52.0,51.0,51.0,52.0,47.0,49.0
250,62.0,52.0,51.0,51.0,52.0,47.0,49.0,46.0
251,52.0,51.0,51.0,52.0,47.0,49.0,46.0,42.0
252,51.0,51.0,52.0,47.0,49.0,46.0,42.0,41.0
253,51.0,52.0,47.0,49.0,46.0,42.0,41.0,35.0
254,52.0,47.0,49.0,46.0,42.0,41.0,35.0,36.0
255,47.0,49.0,46.0,42.0,41.0,35.0,36.0,39.0
256,49.0,46.0,42.0,41.0,35.0,36.0,39.0,35.0
257,46.0,42.0,41.0,35.0,36.0,39.0,35.0,34.0
258,42.0,41.0,35.0,36.0,39.0,35.0,34.0,43.0
259,41.0,35.0,36.0,39.0,35.0,34.0,43.0,53.0
260,35.0,36.0,39.0,35.0,34.0,43.0,53.0,50.0
261,36.0,39.0,35.0,34.0,43.0,53.0,50.0,47.0
262,39.0,35.0,34.0,43.0,53.0,50.0,47.0,101.0
263,74.0,42.0,24.0,16.0,13.0,9.0,6.0,5.0
264,42.0,24.0,16.0,13.0,9.0,6.0,5.0,3.0
265,24.0,16.0,13.0,9.0,6.0,5.0,3.0,3.0
266,16.0,13.0,9.0,6.0,5.0,3.0,3.0,2.0
267,13.0,9.0,6.0,5.0,3.0,3.0,2.0,2.0
268,9.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0
269,6.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0
270,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
271,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
272,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
273,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
274,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0
275,2.0,2.0,2.0,2.0,2.0,4.0,5.0,6.0
