,diff_0,diff_1,diff_2,target
197,36.0,34.0,36.0,43.0
198,34.0,36.0,43.0,101.0
199,93.0,71.0,62.0,67.0
200,71.0,62.0,67.0,46.0
201,62.0,67.0,46.0,44.0
202,67.0,46.0,44.0,40.0
203,46.0,44.0,40.0,29.0
204,44.0,40.0,29.0,25.0
205,40.0,29.0,25.0,21.0
206,29.0,25.0,21.0,18.0
207,25.0,21.0,18.0,18.0
208,21.0,18.0,18.0,18.0
209,97.0,81.0,76.0,64.0
210,81.0,76.0,64.0,65.0
211,76.0,64.0,65.0,61.0
212,64.0,65.0,61.0,54.0
213,65.0,61.0,54.0,45.0
214,61.0,54.0,45.0,43.0
215,54.0,45.0,43.0,51.0
216,45.0,43.0,51.0,51.0
217,43.0,51.0,51.0,46.0
218,51.0,51.0,46.0,49.0
219,51.0,46.0,49.0,50.0
220,46.0,49.0,50.0,46.0
221,49.0,50.0,46.0,48.0
222,50.0,46.0,48.0,48.0
223,46.0,48.0,48.0,52.0
224,48.0,48.0,52.0,56.0
225,48.0,52.0,56.0,62.0
226,52.0,56.0,62.0,101.0
227,50.0,67.0,68.0,60.0
228,67.0,68.0,60.0,49.0
229,68.0,60.0,49.0,41.0
230,60.0,49.0,41.0,41.0
231,49.0,41.0,41.0,36.0
232,41.0,41.0,36.0,33.0
233,41.0,36.0,33.0,31.0
234,36.0,33.0,31.0,33.0
235,33.0,31.0,33.0,42.0
236,31.0,33.0,42.0,69.0
237,33.0,42.0,69.0,88.0
238,42.0,69.0,88.0,101.0
239,64.0,26.0,33.0,34.0
240,26.0,33.0,34.0,32.0
241,33.0,34.0,32.0,24.0
242,34.0,32.0,24.0,20.0
243,32.0,24.0,20.0,21.0
244,24.0,20.0,21.0,25.0
245,20.0,21.0,25.0,26.0
246,21.0,25.0,26.0,23.0
247,25.0,26.0,23.0,24.0
248,26.0,23.0,24.0,26.0
249,23.0,24.0,26.0,32.0
250,24.0,26.0,32.0,41.0
251,26.0,32.0,41.0,49.0
252,32.0,41.0,49.0,55.0
253,41.0,49.0,55.0,65.0
254,49.0,55.0,65.0,101.0
255,11.0,17.0,14.0,14.0
256,17.0,14.0,14.0,12.0
257,14.0,14.0,12.0,13.0
258,14.0,12.0,13.0,17.0
259,12.0,13.0,17.0,12.0
260,13.0,17.0,12.0,15.0
261,17.0,12.0,15.0,16.0
262,12.0,15.0,16.0,21.0
263,15.0,16.0,21.0,18.0
264,16.0,21.0,18.0,20.0
265,21.0,18.0,20.0,14.0
266,18.0,20.0,14.0,22.0
267,20.0,14.0,22.0,23.0
268,14.0,22.0,23.0,29.0
269,22.0,23.0,29.0,37.0
270,23.0,29.0,37.0,42.0
271,29.0,37.0,42.0,47.0
272,37.0,42.0,47.0,48.0
273,42.0,47.0,48.0,50.0
274,47.0,48.0,50.0,101.0
275,97.0,91.0,86.0,86.0
276,91.0,86.0,86.0,85.0
277,86.0,86.0,85.0,90.0
278,86.0,85.0,90.0,96.0
279,85.0,90.0,96.0,101.0
280,9.0,10.0,13.0,16.0
281,10.0,13.0,16.0,15.0
282,13.0,16.0,15.0,24.0
283,16.0,15.0,24.0,35.0
284,15.0,24.0,35.0,39.0
285,24.0,35.0,39.0,53.0
286,35.0,39.0,53.0,63.0
287,39.0,53.0,63.0,72.0
288,53.0,63.0,72.0,101.0
