,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,target
75,92.0,81.0,71.0,69.0,64.0,63.0,63.0,60.0
76,81.0,71.0,69.0,64.0,63.0,63.0,60.0,64.0
77,71.0,69.0,64.0,63.0,63.0,60.0,64.0,59.0
78,69.0,64.0,63.0,63.0,60.0,64.0,59.0,57.0
79,64.0,63.0,63.0,60.0,64.0,59.0,57.0,55.0
80,63.0,63.0,60.0,64.0,59.0,57.0,55.0,52.0
81,63.0,60.0,64.0,59.0,57.0,55.0,52.0,72.0
82,60.0,64.0,59.0,57.0,55.0,52.0,72.0,76.0
83,72.0,78.0,63.0,67.0,60.0,52.0,45.0,49.0
84,78.0,63.0,67.0,60.0,52.0,45.0,49.0,52.0
85,63.0,67.0,60.0,52.0,45.0,49.0,52.0,53.0
86,67.0,60.0,52.0,45.0,49.0,52.0,53.0,51.0
87,60.0,52.0,45.0,49.0,52.0,53.0,51.0,48.0
88,52.0,45.0,49.0,52.0,53.0,51.0,48.0,51.0
89,45.0,49.0,52.0,53.0,51.0,48.0,51.0,56.0
90,49.0,52.0,53.0,51.0,48.0,51.0,56.0,57.0
91,52.0,53.0,51.0,48.0,51.0,56.0,57.0,65.0
92,53.0,51.0,48.0,51.0,56.0,57.0,65.0,66.0
93,60.0,68.0,48.0,51.0,59.0,58.0,53.0,78.0
94,68.0,48.0,51.0,59.0,58.0,53.0,78.0,90.0
95,48.0,51.0,59.0,58.0,53.0,78.0,90.0,91.0
96,51.0,59.0,58.0,53.0,78.0,90.0,91.0,97.0
97,59.0,58.0,53.0,78.0,90.0,91.0,97.0,101.0
98,64.0,70.0,61.0,57.0,63.0,63.0,63.0,71.0
99,70.0,61.0,57.0,63.0,63.0,63.0,71.0,73.0
100,61.0,57.0,63.0,63.0,63.0,71.0,73.0,101.0
101,94.0,74.0,72.0,65.0,61.0,62.0,61.0,66.0
102,74.0,72.0,65.0,61.0,62.0,61.0,66.0,54.0
103,72.0,65.0,61.0,62.0,61.0,66.0,54.0,65.0
104,65.0,61.0,62.0,61.0,66.0,54.0,65.0,81.0
105,61.0,62.0,61.0,66.0,54.0,65.0,81.0,99.0
106,62.0,61.0,66.0,54.0,65.0,81.0,99.0,101.0
107,34.0,34.0,32.0,29.0,34.0,33.0,33.0,30.0
108,34.0,32.0,29.0,34.0,33.0,33.0,30.0,33.0
109,32.0,29.0,34.0,33.0,33.0,30.0,33.0,40.0
110,29.0,34.0,33.0,33.0,30.0,33.0,40.0,47.0
111,34.0,33.0,33.0,30.0,33.0,40.0,47.0,101.0
112,63.0,47.0,43.0,41.0,26.0,22.0,22.0,18.0
113,47.0,43.0,41.0,26.0,22.0,22.0,18.0,14.0
114,43.0,41.0,26.0,22.0,22.0,18.0,14.0,11.0
115,41.0,26.0,22.0,22.0,18.0,14.0,11.0,10.0
116,26.0,22.0,22.0,18.0,14.0,11.0,10.0,9.0
117,22.0,22.0,18.0,14.0,11.0,10.0,9.0,10.0
118,22.0,18.0,14.0,11.0,10.0,9.0,10.0,9.0
119,18.0,14.0,11.0,10.0,9.0,10.0,9.0,9.0
120,14.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0
121,11.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0
122,15.0,15.0,21.0,24.0,24.0,27.0,32.0,35.0
123,15.0,21.0,24.0,24.0,27.0,32.0,35.0,42.0
124,21.0,24.0,24.0,27.0,32.0,35.0,42.0,42.0
125,24.0,24.0,27.0,32.0,35.0,42.0,42.0,32.0
126,24.0,27.0,32.0,35.0,42.0,42.0,32.0,38.0
127,27.0,32.0,35.0,42.0,42.0,32.0,38.0,39.0
128,32.0,35.0,42.0,42.0,32.0,38.0,39.0,45.0
129,35.0,42.0,42.0,32.0,38.0,39.0,45.0,50.0
130,42.0,42.0,32.0,38.0,39.0,45.0,50.0,101.0
131,79.0,84.0,76.0,71.0,85.0,96.0,97.0,101.0
132,99.0,91.0,84.0,78.0,69.0,69.0,68.0,69.0
133,91.0,84.0,78.0,69.0,69.0,68.0,69.0,62.0
134,84.0,78.0,69.0,69.0,68.0,69.0,62.0,62.0
135,78.0,69.0,69.0,68.0,69.0,62.0,62.0,60.0
