,diff_0,diff_1,diff_2,diff_3,diff_4,diff_5,target
304,84.0,87.0,81.0,85.0,76.0,77.0,83.0
305,87.0,81.0,85.0,76.0,77.0,83.0,101.0
306,41.0,67.0,75.0,89.0,75.0,81.0,88.0
307,67.0,75.0,89.0,75.0,81.0,88.0,93.0
308,75.0,89.0,75.0,81.0,88.0,93.0,100.0
309,89.0,75.0,81.0,88.0,93.0,100.0,100.0
310,75.0,81.0,88.0,93.0,100.0,100.0,97.0
311,81.0,88.0,93.0,100.0,100.0,97.0,101.0
312,17.0,14.0,18.0,9.0,8.0,5.0,4.0
313,14.0,18.0,9.0,8.0,5.0,4.0,4.0
314,18.0,9.0,8.0,5.0,4.0,4.0,4.0
315,9.0,8.0,5.0,4.0,4.0,4.0,3.0
316,8.0,5.0,4.0,4.0,4.0,3.0,1.0
317,5.0,4.0,4.0,4.0,3.0,1.0,1.0
318,4.0,4.0,4.0,3.0,1.0,1.0,2.0
319,4.0,4.0,3.0,1.0,1.0,2.0,2.0
320,4.0,3.0,1.0,1.0,2.0,2.0,4.0
321,3.0,1.0,1.0,2.0,2.0,4.0,5.0
322,1.0,1.0,2.0,2.0,4.0,5.0,8.0
323,1.0,2.0,2.0,4.0,5.0,8.0,11.0
324,2.0,2.0,4.0,5.0,8.0,11.0,13.0
325,2.0,4.0,5.0,8.0,11.0,13.0,14.0
326,4.0,5.0,8.0,11.0,13.0,14.0,17.0
327,5.0,8.0,11.0,13.0,14.0,17.0,19.0
328,8.0,11.0,13.0,14.0,17.0,19.0,20.0
329,11.0,13.0,14.0,17.0,19.0,20.0,21.0
330,13.0,14.0,17.0,19.0,20.0,21.0,18.0
331,14.0,17.0,19.0,20.0,21.0,18.0,24.0
332,17.0,19.0,20.0,21.0,18.0,24.0,29.0
333,19.0,20.0,21.0,18.0,24.0,29.0,31.0
334,20.0,21.0,18.0,24.0,29.0,31.0,38.0
335,21.0,18.0,24.0,29.0,31.0,38.0,46.0
336,18.0,24.0,29.0,31.0,38.0,46.0,46.0
337,24.0,29.0,31.0,38.0,46.0,46.0,49.0
338,29.0,31.0,38.0,46.0,46.0,49.0,101.0
339,63.0,62.0,58.0,53.0,53.0,44.0,35.0
340,62.0,58.0,53.0,53.0,44.0,35.0,35.0
341,58.0,53.0,53.0,44.0,35.0,35.0,35.0
342,53.0,53.0,44.0,35.0,35.0,35.0,35.0
343,53.0,44.0,35.0,35.0,35.0,35.0,38.0
344,44.0,35.0,35.0,35.0,35.0,38.0,37.0
345,35.0,35.0,35.0,35.0,38.0,37.0,36.0
346,35.0,35.0,35.0,38.0,37.0,36.0,41.0
347,35.0,35.0,38.0,37.0,36.0,41.0,44.0
348,35.0,38.0,37.0,36.0,41.0,44.0,52.0
349,38.0,37.0,36.0,41.0,44.0,52.0,53.0
350,37.0,36.0,41.0,44.0,52.0,53.0,59.0
351,36.0,41.0,44.0,52.0,53.0,59.0,63.0
352,41.0,44.0,52.0,53.0,59.0,63.0,64.0
353,44.0,52.0,53.0,59.0,63.0,64.0,101.0
354,61.0,28.0,8.0,27.0,51.0,76.0,82.0
355,28.0,8.0,27.0,51.0,76.0,82.0,86.0
356,8.0,27.0,51.0,76.0,82.0,86.0,83.0
357,27.0,51.0,76.0,82.0,86.0,83.0,85.0
358,51.0,76.0,82.0,86.0,83.0,85.0,96.0
359,76.0,82.0,86.0,83.0,85.0,96.0,101.0
360,91.0,62.0,52.0,51.0,51.0,52.0,47.0
361,62.0,52.0,51.0,51.0,52.0,47.0,49.0
362,52.0,51.0,51.0,52.0,47.0,49.0,46.0
363,51.0,51.0,52.0,47.0,49.0,46.0,42.0
364,51.0,52.0,47.0,49.0,46.0,42.0,41.0
365,52.0,47.0,49.0,46.0,42.0,41.0,35.0
366,47.0,49.0,46.0,42.0,41.0,35.0,36.0
367,49.0,46.0,42.0,41.0,35.0,36.0,39.0
368,46.0,42.0,41.0,35.0,36.0,39.0,35.0
369,42.0,41.0,35.0,36.0,39.0,35.0,34.0
370,41.0,35.0,36.0,39.0,35.0,34.0,43.0
371,35.0,36.0,39.0,35.0,34.0,43.0,53.0
372,36.0,39.0,35.0,34.0,43.0,53.0,50.0
373,39.0,35.0,34.0,43.0,53.0,50.0,47.0
374,35.0,34.0,43.0,53.0,50.0,47.0,101.0
375,74.0,42.0,24.0,16.0,13.0,9.0,6.0
376,42.0,24.0,16.0,13.0,9.0,6.0,5.0
377,24.0,16.0,13.0,9.0,6.0,5.0,3.0
378,16.0,13.0,9.0,6.0,5.0,3.0,3.0
379,13.0,9.0,6.0,5.0,3.0,3.0,2.0
380,9.0,6.0,5.0,3.0,3.0,2.0,2.0
381,6.0,5.0,3.0,3.0,2.0,2.0,2.0
382,5.0,3.0,3.0,2.0,2.0,2.0,2.0
383,3.0,3.0,2.0,2.0,2.0,2.0,2.0
384,3.0,2.0,2.0,2.0,2.0,2.0,2.0
385,2.0,2.0,2.0,2.0,2.0,2.0,2.0
386,2.0,2.0,2.0,2.0,2.0,2.0,4.0
387,2.0,2.0,2.0,2.0,2.0,4.0,5.0
388,2.0,2.0,2.0,2.0,4.0,5.0,6.0
389,2.0,2.0,2.0,4.0,5.0,6.0,7.0
390,2.0,2.0,4.0,5.0,6.0,7.0,9.0
391,2.0,4.0,5.0,6.0,7.0,9.0,11.0
392,4.0,5.0,6.0,7.0,9.0,11.0,11.0
393,5.0,6.0,7.0,9.0,11.0,11.0,11.0
394,6.0,7.0,9.0,11.0,11.0,11.0,19.0
395,7.0,9.0,11.0,11.0,11.0,19.0,21.0
396,9.0,11.0,11.0,11.0,19.0,21.0,25.0
397,11.0,11.0,11.0,19.0,21.0,25.0,30.0
398,11.0,11.0,19.0,21.0,25.0,30.0,34.0
399,11.0,19.0,21.0,25.0,30.0,34.0,32.0
400,19.0,21.0,25.0,30.0,34.0,32.0,34.0
401,21.0,25.0,30.0,34.0,32.0,34.0,32.0
402,25.0,30.0,34.0,32.0,34.0,32.0,36.0
403,30.0,34.0,32.0,34.0,32.0,36.0,42.0
404,34.0,32.0,34.0,32.0,36.0,42.0,44.0
405,32.0,34.0,32.0,36.0,42.0,44.0,43.0
406,34.0,32.0,36.0,42.0,44.0,43.0,44.0
407,32.0,36.0,42.0,44.0,43.0,44.0,50.0
408,36.0,42.0,44.0,43.0,44.0,50.0,101.0
409,68.0,35.0,19.0,16.0,10.0,7.0,6.0
410,35.0,19.0,16.0,10.0,7.0,6.0,5.0
411,19.0,16.0,10.0,7.0,6.0,5.0,5.0
412,16.0,10.0,7.0,6.0,5.0,5.0,7.0
413,10.0,7.0,6.0,5.0,5.0,7.0,7.0
414,7.0,6.0,5.0,5.0,7.0,7.0,9.0
415,6.0,5.0,5.0,7.0,7.0,9.0,14.0
416,5.0,5.0,7.0,7.0,9.0,14.0,23.0
417,5.0,7.0,7.0,9.0,14.0,23.0,29.0
418,7.0,7.0,9.0,14.0,23.0,29.0,39.0
419,7.0,9.0,14.0,23.0,29.0,39.0,42.0
420,9.0,14.0,23.0,29.0,39.0,42.0,45.0
421,14.0,23.0,29.0,39.0,42.0,45.0,46.0
422,23.0,29.0,39.0,42.0,45.0,46.0,50.0
423,29.0,39.0,42.0,45.0,46.0,50.0,50.0
424,39.0,42.0,45.0,46.0,50.0,50.0,101.0
425,97.0,83.0,81.0,93.0,91.0,98.0,91.0
426,83.0,81.0,93.0,91.0,98.0,91.0,100.0
427,81.0,93.0,91.0,98.0,91.0,100.0,101.0
428,92.0,75.0,75.0,79.0,77.0,77.0,73.0
429,75.0,75.0,79.0,77.0,77.0,73.0,71.0
430,75.0,79.0,77.0,77.0,73.0,71.0,73.0
431,79.0,77.0,77.0,73.0,71.0,73.0,76.0
432,77.0,77.0,73.0,71.0,73.0,76.0,81.0
433,77.0,73.0,71.0,73.0,76.0,81.0,86.0
434,73.0,71.0,73.0,76.0,81.0,86.0,87.0
435,71.0,73.0,76.0,81.0,86.0,87.0,93.0
436,73.0,76.0,81.0,86.0,87.0,93.0,101.0
437,88.0,58.0,73.0,75.0,78.0,76.0,74.0
438,58.0,73.0,75.0,78.0,76.0,74.0,82.0
439,73.0,75.0,78.0,76.0,74.0,82.0,75.0
440,75.0,78.0,76.0,74.0,82.0,75.0,82.0
441,78.0,76.0,74.0,82.0,75.0,82.0,89.0
442,76.0,74.0,82.0,75.0,82.0,89.0,92.0
443,74.0,82.0,75.0,82.0,89.0,92.0,100.0
444,82.0,75.0,82.0,89.0,92.0,100.0,101.0
445,70.0,61.0,55.0,52.0,46.0,45.0,34.0
446,61.0,55.0,52.0,46.0,45.0,34.0,36.0
447,55.0,52.0,46.0,45.0,34.0,36.0,36.0
448,52.0,46.0,45.0,34.0,36.0,36.0,35.0
449,46.0,45.0,34.0,36.0,36.0,35.0,35.0
450,45.0,34.0,36.0,36.0,35.0,35.0,35.0
451,34.0,36.0,36.0,35.0,35.0,35.0,35.0
452,36.0,36.0,35.0,35.0,35.0,35.0,33.0
453,36.0,35.0,35.0,35.0,35.0,33.0,28.0
454,35.0,35.0,35.0,35.0,33.0,28.0,31.0
455,35.0,35.0,35.0,33.0,28.0,31.0,32.0
456,35.0,35.0,33.0,28.0,31.0,32.0,35.0
457,35.0,33.0,28.0,31.0,32.0,35.0,37.0
458,33.0,28.0,31.0,32.0,35.0,37.0,41.0
459,28.0,31.0,32.0,35.0,37.0,41.0,47.0
460,31.0,32.0,35.0,37.0,41.0,47.0,49.0
461,32.0,35.0,37.0,41.0,47.0,49.0,101.0
