,diff_0,diff_1,diff_2,diff_3,diff_4,target
373,63.0,62.0,58.0,53.0,53.0,44.0
374,62.0,58.0,53.0,53.0,44.0,35.0
375,58.0,53.0,53.0,44.0,35.0,35.0
376,53.0,53.0,44.0,35.0,35.0,35.0
377,53.0,44.0,35.0,35.0,35.0,35.0
378,44.0,35.0,35.0,35.0,35.0,38.0
379,35.0,35.0,35.0,35.0,38.0,37.0
380,35.0,35.0,35.0,38.0,37.0,36.0
381,35.0,35.0,38.0,37.0,36.0,41.0
382,35.0,38.0,37.0,36.0,41.0,44.0
383,38.0,37.0,36.0,41.0,44.0,52.0
384,37.0,36.0,41.0,44.0,52.0,53.0
385,36.0,41.0,44.0,52.0,53.0,59.0
386,41.0,44.0,52.0,53.0,59.0,63.0
387,44.0,52.0,53.0,59.0,63.0,64.0
388,52.0,53.0,59.0,63.0,64.0,101.0
389,61.0,28.0,8.0,27.0,51.0,76.0
390,28.0,8.0,27.0,51.0,76.0,82.0
391,8.0,27.0,51.0,76.0,82.0,86.0
392,27.0,51.0,76.0,82.0,86.0,83.0
393,51.0,76.0,82.0,86.0,83.0,85.0
394,76.0,82.0,86.0,83.0,85.0,96.0
395,82.0,86.0,83.0,85.0,96.0,101.0
396,91.0,62.0,52.0,51.0,51.0,52.0
397,62.0,52.0,51.0,51.0,52.0,47.0
398,52.0,51.0,51.0,52.0,47.0,49.0
399,51.0,51.0,52.0,47.0,49.0,46.0
400,51.0,52.0,47.0,49.0,46.0,42.0
401,52.0,47.0,49.0,46.0,42.0,41.0
402,47.0,49.0,46.0,42.0,41.0,35.0
403,49.0,46.0,42.0,41.0,35.0,36.0
404,46.0,42.0,41.0,35.0,36.0,39.0
405,42.0,41.0,35.0,36.0,39.0,35.0
406,41.0,35.0,36.0,39.0,35.0,34.0
407,35.0,36.0,39.0,35.0,34.0,43.0
408,36.0,39.0,35.0,34.0,43.0,53.0
409,39.0,35.0,34.0,43.0,53.0,50.0
410,35.0,34.0,43.0,53.0,50.0,47.0
411,34.0,43.0,53.0,50.0,47.0,101.0
412,74.0,42.0,24.0,16.0,13.0,9.0
413,42.0,24.0,16.0,13.0,9.0,6.0
414,24.0,16.0,13.0,9.0,6.0,5.0
415,16.0,13.0,9.0,6.0,5.0,3.0
416,13.0,9.0,6.0,5.0,3.0,3.0
417,9.0,6.0,5.0,3.0,3.0,2.0
418,6.0,5.0,3.0,3.0,2.0,2.0
419,5.0,3.0,3.0,2.0,2.0,2.0
420,3.0,3.0,2.0,2.0,2.0,2.0
421,3.0,2.0,2.0,2.0,2.0,2.0
422,2.0,2.0,2.0,2.0,2.0,2.0
423,2.0,2.0,2.0,2.0,2.0,2.0
424,2.0,2.0,2.0,2.0,2.0,4.0
425,2.0,2.0,2.0,2.0,4.0,5.0
426,2.0,2.0,2.0,4.0,5.0,6.0
427,2.0,2.0,4.0,5.0,6.0,7.0
428,2.0,4.0,5.0,6.0,7.0,9.0
429,4.0,5.0,6.0,7.0,9.0,11.0
430,5.0,6.0,7.0,9.0,11.0,11.0
431,6.0,7.0,9.0,11.0,11.0,11.0
432,7.0,9.0,11.0,11.0,11.0,19.0
433,9.0,11.0,11.0,11.0,19.0,21.0
434,11.0,11.0,11.0,19.0,21.0,25.0
435,11.0,11.0,19.0,21.0,25.0,30.0
436,11.0,19.0,21.0,25.0,30.0,34.0
437,19.0,21.0,25.0,30.0,34.0,32.0
438,21.0,25.0,30.0,34.0,32.0,34.0
439,25.0,30.0,34.0,32.0,34.0,32.0
440,30.0,34.0,32.0,34.0,32.0,36.0
441,34.0,32.0,34.0,32.0,36.0,42.0
442,32.0,34.0,32.0,36.0,42.0,44.0
443,34.0,32.0,36.0,42.0,44.0,43.0
444,32.0,36.0,42.0,44.0,43.0,44.0
445,36.0,42.0,44.0,43.0,44.0,50.0
446,42.0,44.0,43.0,44.0,50.0,101.0
447,93.0,90.0,86.0,87.0,100.0,101.0
448,68.0,35.0,19.0,16.0,10.0,7.0
449,35.0,19.0,16.0,10.0,7.0,6.0
450,19.0,16.0,10.0,7.0,6.0,5.0
451,16.0,10.0,7.0,6.0,5.0,5.0
452,10.0,7.0,6.0,5.0,5.0,7.0
453,7.0,6.0,5.0,5.0,7.0,7.0
454,6.0,5.0,5.0,7.0,7.0,9.0
455,5.0,5.0,7.0,7.0,9.0,14.0
